,Title,Location,Price,Area,Status
0,4 BHK Independent House,"Old Bowenpally, Hyderabad","16,500",1000,Unfurnished
1,2 BHK Independent House,"Khairatabad Road, Hyderabad","14,000",700,Semi-Furnished
2,2 BHK Independent House,"Shaikpet, Hyderabad","12,000",1200,Unfurnished
3,5 BHK Villa,"Nallagandla Gachibowli, Hyderabad","80,000",4000,Semi-Furnished
4,5 BHK Villa,"Moinabad, Hyderabad",200000,7000,Furnished
5,2 BHK Apartment,"Chintalmet, Hyderabad","10,000",1000,Semi-Furnished
6,3 BHK Independent House,"Bolarum, Hyderabad","18,000",2000,Semi-Furnished
7,2 BHK Independent Floor,"Upparpally, Hyderabad","18,000",1700,Furnished
8,2 BHK Apartment,"Boiguda, Hyderabad","17,000",900,Unfurnished
9,3 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad","16,000",1570,Semi-Furnished
10,2 BHK Apartment,"Moosapet, Hyderabad","15,000",1100,Semi-Furnished
11,3 BHK Apartment,"Somajiguda, Hyderabad","20,000",1500,Semi-Furnished
12,3 BHK Independent House,"Kothapet, Hyderabad","40,000",1700,Semi-Furnished
13,1 BHK Independent Floor,"Attapur, Hyderabad","8,000",700,Unfurnished
14,7 BHK Independent Floor,"Miyapur, Hyderabad",150000,9900,Semi-Furnished
15,3 BHK Apartment,"Ramachandra Puram, Hyderabad","18,000",1300,Semi-Furnished
16,3 BHK Apartment,"Gajulramaram Kukatpally, Hyderabad","27,000",1620,Semi-Furnished
17,3 BHK Apartment,"Krishna Reddy Pet, Hyderabad","18,000",1360,Semi-Furnished
18,3 BHK Apartment,"Pocharam, Hyderabad","12,000",1500,Semi-Furnished
19,2 BHK Independent House,"Kothapet, Hyderabad","13,500",1400,Unfurnished
20,4 BHK Independent House,"Old Bowenpally, Hyderabad","16,500",1000,Unfurnished
21,2 BHK Independent House,"Khairatabad Road, Hyderabad","14,000",700,Semi-Furnished
22,2 BHK Independent House,"Shaikpet, Hyderabad","12,000",1200,Unfurnished
23,5 BHK Villa,"Nallagandla Gachibowli, Hyderabad","80,000",4000,Semi-Furnished
24,5 BHK Villa,"Moinabad, Hyderabad",200000,7000,Furnished
25,2 BHK Apartment,"Chintalmet, Hyderabad","10,000",1000,Semi-Furnished
26,3 BHK Independent House,"Bolarum, Hyderabad","18,000",2000,Semi-Furnished
27,2 BHK Independent Floor,"Upparpally, Hyderabad","18,000",1700,Furnished
28,2 BHK Apartment,"Boiguda, Hyderabad","17,000",900,Unfurnished
29,3 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad","16,000",1570,Semi-Furnished
30,2 BHK Apartment,"Moosapet, Hyderabad","15,000",1100,Semi-Furnished
31,3 BHK Apartment,"Somajiguda, Hyderabad","20,000",1500,Semi-Furnished
32,3 BHK Independent House,"Kothapet, Hyderabad","40,000",1700,Semi-Furnished
33,1 BHK Independent Floor,"Attapur, Hyderabad","8,000",700,Unfurnished
34,7 BHK Independent Floor,"Miyapur, Hyderabad",150000,9900,Semi-Furnished
35,3 BHK Apartment,"Ramachandra Puram, Hyderabad","18,000",1300,Semi-Furnished
36,3 BHK Apartment,"Gajulramaram Kukatpally, Hyderabad","27,000",1620,Semi-Furnished
37,3 BHK Apartment,"Krishna Reddy Pet, Hyderabad","18,000",1360,Semi-Furnished
38,3 BHK Apartment,"Pocharam, Hyderabad","12,000",1500,Semi-Furnished
39,2 BHK Independent House,"Kothapet, Hyderabad","13,500",1400,Unfurnished
40,4 BHK Independent House,"Old Bowenpally, Hyderabad","16,500",1000,Unfurnished
41,2 BHK Independent House,"Khairatabad Road, Hyderabad","14,000",700,Semi-Furnished
42,2 BHK Independent House,"Shaikpet, Hyderabad","12,000",1200,Unfurnished
43,5 BHK Villa,"Nallagandla Gachibowli, Hyderabad","80,000",4000,Semi-Furnished
44,5 BHK Villa,"Moinabad, Hyderabad",200000,7000,Furnished
45,2 BHK Apartment,"Chintalmet, Hyderabad","10,000",1000,Semi-Furnished
46,3 BHK Independent House,"Bolarum, Hyderabad","18,000",2000,Semi-Furnished
47,2 BHK Independent Floor,"Upparpally, Hyderabad","18,000",1700,Furnished
48,2 BHK Apartment,"Boiguda, Hyderabad","17,000",900,Unfurnished
49,3 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad","16,000",1570,Semi-Furnished
50,2 BHK Apartment,"Moosapet, Hyderabad","15,000",1100,Semi-Furnished
51,3 BHK Apartment,"Somajiguda, Hyderabad","20,000",1500,Semi-Furnished
52,3 BHK Independent House,"Kothapet, Hyderabad","40,000",1700,Semi-Furnished
53,1 BHK Independent Floor,"Attapur, Hyderabad","8,000",700,Unfurnished
54,7 BHK Independent Floor,"Miyapur, Hyderabad",150000,9900,Semi-Furnished
55,3 BHK Apartment,"Ramachandra Puram, Hyderabad","18,000",1300,Semi-Furnished
56,3 BHK Apartment,"Gajulramaram Kukatpally, Hyderabad","27,000",1620,Semi-Furnished
57,3 BHK Apartment,"Krishna Reddy Pet, Hyderabad","18,000",1360,Semi-Furnished
58,3 BHK Apartment,"Pocharam, Hyderabad","12,000",1500,Semi-Furnished
59,2 BHK Independent House,"Kothapet, Hyderabad","13,500",1400,Unfurnished
60,4 BHK Independent House,"Old Bowenpally, Hyderabad","16,500",1000,Unfurnished
61,2 BHK Independent House,"Khairatabad Road, Hyderabad","14,000",700,Semi-Furnished
62,2 BHK Independent House,"Shaikpet, Hyderabad","12,000",1200,Unfurnished
63,5 BHK Villa,"Nallagandla Gachibowli, Hyderabad","80,000",4000,Semi-Furnished
64,5 BHK Villa,"Moinabad, Hyderabad",200000,7000,Furnished
65,2 BHK Apartment,"Chintalmet, Hyderabad","10,000",1000,Semi-Furnished
66,3 BHK Independent House,"Bolarum, Hyderabad","18,000",2000,Semi-Furnished
67,2 BHK Independent Floor,"Upparpally, Hyderabad","18,000",1700,Furnished
68,2 BHK Apartment,"Boiguda, Hyderabad","17,000",900,Unfurnished
69,3 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad","16,000",1570,Semi-Furnished
70,2 BHK Apartment,"Moosapet, Hyderabad","15,000",1100,Semi-Furnished
71,3 BHK Apartment,"Somajiguda, Hyderabad","20,000",1500,Semi-Furnished
72,3 BHK Independent House,"Kothapet, Hyderabad","40,000",1700,Semi-Furnished
73,1 BHK Independent Floor,"Attapur, Hyderabad","8,000",700,Unfurnished
74,7 BHK Independent Floor,"Miyapur, Hyderabad",150000,9900,Semi-Furnished
75,3 BHK Apartment,"Ramachandra Puram, Hyderabad","18,000",1300,Semi-Furnished
76,3 BHK Apartment,"Gajulramaram Kukatpally, Hyderabad","27,000",1620,Semi-Furnished
77,3 BHK Apartment,"Krishna Reddy Pet, Hyderabad","18,000",1360,Semi-Furnished
78,3 BHK Apartment,"Pocharam, Hyderabad","12,000",1500,Semi-Furnished
79,2 BHK Independent House,"Kothapet, Hyderabad","13,500",1400,Unfurnished
80,4 BHK Independent House,"Old Bowenpally, Hyderabad","16,500",1000,Unfurnished
81,2 BHK Independent House,"Khairatabad Road, Hyderabad","14,000",700,Semi-Furnished
82,2 BHK Independent House,"Shaikpet, Hyderabad","12,000",1200,Unfurnished
83,5 BHK Villa,"Nallagandla Gachibowli, Hyderabad","80,000",4000,Semi-Furnished
84,5 BHK Villa,"Moinabad, Hyderabad",200000,7000,Furnished
85,2 BHK Apartment,"Chintalmet, Hyderabad","10,000",1000,Semi-Furnished
86,3 BHK Independent House,"Bolarum, Hyderabad","18,000",2000,Semi-Furnished
87,2 BHK Independent Floor,"Upparpally, Hyderabad","18,000",1700,Furnished
88,2 BHK Apartment,"Boiguda, Hyderabad","17,000",900,Unfurnished
89,3 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad","16,000",1570,Semi-Furnished
90,2 BHK Apartment,"Moosapet, Hyderabad","15,000",1100,Semi-Furnished
91,3 BHK Apartment,"Somajiguda, Hyderabad","20,000",1500,Semi-Furnished
92,3 BHK Independent House,"Kothapet, Hyderabad","40,000",1700,Semi-Furnished
93,1 BHK Independent Floor,"Attapur, Hyderabad","8,000",700,Unfurnished
94,7 BHK Independent Floor,"Miyapur, Hyderabad",150000,9900,Semi-Furnished
95,3 BHK Apartment,"Ramachandra Puram, Hyderabad","18,000",1300,Semi-Furnished
96,3 BHK Apartment,"Gajulramaram Kukatpally, Hyderabad","27,000",1620,Semi-Furnished
97,3 BHK Apartment,"Krishna Reddy Pet, Hyderabad","18,000",1360,Semi-Furnished
98,3 BHK Apartment,"Pocharam, Hyderabad","12,000",1500,Semi-Furnished
99,2 BHK Independent House,"Kothapet, Hyderabad","13,500",1400,Unfurnished
100,4 BHK Independent House,"Old Bowenpally, Hyderabad","16,500",1000,Unfurnished
101,2 BHK Independent House,"Khairatabad Road, Hyderabad","14,000",700,Semi-Furnished
102,2 BHK Independent House,"Shaikpet, Hyderabad","12,000",1200,Unfurnished
103,5 BHK Villa,"Nallagandla Gachibowli, Hyderabad","80,000",4000,Semi-Furnished
104,5 BHK Villa,"Moinabad, Hyderabad",200000,7000,Furnished
105,2 BHK Apartment,"Chintalmet, Hyderabad","10,000",1000,Semi-Furnished
106,3 BHK Independent House,"Bolarum, Hyderabad","18,000",2000,Semi-Furnished
107,2 BHK Independent Floor,"Upparpally, Hyderabad","18,000",1700,Furnished
108,2 BHK Apartment,"Boiguda, Hyderabad","17,000",900,Unfurnished
109,3 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad","16,000",1570,Semi-Furnished
110,2 BHK Apartment,"Moosapet, Hyderabad","15,000",1100,Semi-Furnished
111,3 BHK Apartment,"Somajiguda, Hyderabad","20,000",1500,Semi-Furnished
112,3 BHK Independent House,"Kothapet, Hyderabad","40,000",1700,Semi-Furnished
113,1 BHK Independent Floor,"Attapur, Hyderabad","8,000",700,Unfurnished
114,7 BHK Independent Floor,"Miyapur, Hyderabad",150000,9900,Semi-Furnished
115,3 BHK Apartment,"Ramachandra Puram, Hyderabad","18,000",1300,Semi-Furnished
116,3 BHK Apartment,"Gajulramaram Kukatpally, Hyderabad","27,000",1620,Semi-Furnished
117,3 BHK Apartment,"Krishna Reddy Pet, Hyderabad","18,000",1360,Semi-Furnished
118,3 BHK Apartment,"Pocharam, Hyderabad","12,000",1500,Semi-Furnished
119,2 BHK Independent House,"Kothapet, Hyderabad","13,500",1400,Unfurnished
120,4 BHK Independent House,"Old Bowenpally, Hyderabad","16,500",1000,Unfurnished
121,2 BHK Independent House,"Khairatabad Road, Hyderabad","14,000",700,Semi-Furnished
122,2 BHK Independent House,"Shaikpet, Hyderabad","12,000",1200,Unfurnished
123,5 BHK Villa,"Nallagandla Gachibowli, Hyderabad","80,000",4000,Semi-Furnished
124,5 BHK Villa,"Moinabad, Hyderabad",200000,7000,Furnished
125,2 BHK Apartment,"Chintalmet, Hyderabad","10,000",1000,Semi-Furnished
126,3 BHK Independent House,"Bolarum, Hyderabad","18,000",2000,Semi-Furnished
127,2 BHK Independent Floor,"Upparpally, Hyderabad","18,000",1700,Furnished
128,2 BHK Apartment,"Boiguda, Hyderabad","17,000",900,Unfurnished
129,3 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad","16,000",1570,Semi-Furnished
130,2 BHK Apartment,"Moosapet, Hyderabad","15,000",1100,Semi-Furnished
131,3 BHK Apartment,"Somajiguda, Hyderabad","20,000",1500,Semi-Furnished
132,3 BHK Independent House,"Kothapet, Hyderabad","40,000",1700,Semi-Furnished
133,1 BHK Independent Floor,"Attapur, Hyderabad","8,000",700,Unfurnished
134,7 BHK Independent Floor,"Miyapur, Hyderabad",150000,9900,Semi-Furnished
135,3 BHK Apartment,"Ramachandra Puram, Hyderabad","18,000",1300,Semi-Furnished
136,3 BHK Apartment,"Gajulramaram Kukatpally, Hyderabad","27,000",1620,Semi-Furnished
137,3 BHK Apartment,"Krishna Reddy Pet, Hyderabad","18,000",1360,Semi-Furnished
138,3 BHK Apartment,"Pocharam, Hyderabad","12,000",1500,Semi-Furnished
139,2 BHK Independent House,"Kothapet, Hyderabad","13,500",1400,Unfurnished
140,4 BHK Independent House,"Old Bowenpally, Hyderabad","16,500",1000,Unfurnished
141,2 BHK Independent House,"Khairatabad Road, Hyderabad","14,000",700,Semi-Furnished
142,2 BHK Independent House,"Shaikpet, Hyderabad","12,000",1200,Unfurnished
143,5 BHK Villa,"Nallagandla Gachibowli, Hyderabad","80,000",4000,Semi-Furnished
144,5 BHK Villa,"Moinabad, Hyderabad",200000,7000,Furnished
145,2 BHK Apartment,"Chintalmet, Hyderabad","10,000",1000,Semi-Furnished
146,3 BHK Independent House,"Bolarum, Hyderabad","18,000",2000,Semi-Furnished
147,2 BHK Independent Floor,"Upparpally, Hyderabad","18,000",1700,Furnished
148,2 BHK Apartment,"Boiguda, Hyderabad","17,000",900,Unfurnished
149,3 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad","16,000",1570,Semi-Furnished
150,2 BHK Apartment,"Moosapet, Hyderabad","15,000",1100,Semi-Furnished
151,3 BHK Apartment,"Somajiguda, Hyderabad","20,000",1500,Semi-Furnished
152,3 BHK Independent House,"Kothapet, Hyderabad","40,000",1700,Semi-Furnished
153,1 BHK Independent Floor,"Attapur, Hyderabad","8,000",700,Unfurnished
154,7 BHK Independent Floor,"Miyapur, Hyderabad",150000,9900,Semi-Furnished
155,3 BHK Apartment,"Ramachandra Puram, Hyderabad","18,000",1300,Semi-Furnished
156,3 BHK Apartment,"Gajulramaram Kukatpally, Hyderabad","27,000",1620,Semi-Furnished
157,3 BHK Apartment,"Krishna Reddy Pet, Hyderabad","18,000",1360,Semi-Furnished
158,3 BHK Apartment,"Pocharam, Hyderabad","12,000",1500,Semi-Furnished
159,2 BHK Independent House,"Kothapet, Hyderabad","13,500",1400,Unfurnished
160,4 BHK Independent House,"Old Bowenpally, Hyderabad","16,500",1000,Unfurnished
161,2 BHK Independent House,"Khairatabad Road, Hyderabad","14,000",700,Semi-Furnished
162,2 BHK Independent House,"Shaikpet, Hyderabad","12,000",1200,Unfurnished
163,5 BHK Villa,"Nallagandla Gachibowli, Hyderabad","80,000",4000,Semi-Furnished
164,5 BHK Villa,"Moinabad, Hyderabad",200000,7000,Furnished
165,2 BHK Apartment,"Chintalmet, Hyderabad","10,000",1000,Semi-Furnished
166,3 BHK Independent House,"Bolarum, Hyderabad","18,000",2000,Semi-Furnished
167,2 BHK Independent Floor,"Upparpally, Hyderabad","18,000",1700,Furnished
168,2 BHK Apartment,"Boiguda, Hyderabad","17,000",900,Unfurnished
169,3 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad","16,000",1570,Semi-Furnished
170,2 BHK Apartment,"Moosapet, Hyderabad","15,000",1100,Semi-Furnished
171,3 BHK Apartment,"Somajiguda, Hyderabad","20,000",1500,Semi-Furnished
172,3 BHK Independent House,"Kothapet, Hyderabad","40,000",1700,Semi-Furnished
173,1 BHK Independent Floor,"Attapur, Hyderabad","8,000",700,Unfurnished
174,7 BHK Independent Floor,"Miyapur, Hyderabad",150000,9900,Semi-Furnished
175,3 BHK Apartment,"Ramachandra Puram, Hyderabad","18,000",1300,Semi-Furnished
176,3 BHK Apartment,"Gajulramaram Kukatpally, Hyderabad","27,000",1620,Semi-Furnished
177,3 BHK Apartment,"Krishna Reddy Pet, Hyderabad","18,000",1360,Semi-Furnished
178,3 BHK Apartment,"Pocharam, Hyderabad","12,000",1500,Semi-Furnished
179,2 BHK Independent House,"Kothapet, Hyderabad","13,500",1400,Unfurnished
180,4 BHK Independent House,"Old Bowenpally, Hyderabad","16,500",1000,Unfurnished
181,2 BHK Independent House,"Khairatabad Road, Hyderabad","14,000",700,Semi-Furnished
182,2 BHK Independent House,"Shaikpet, Hyderabad","12,000",1200,Unfurnished
183,5 BHK Villa,"Nallagandla Gachibowli, Hyderabad","80,000",4000,Semi-Furnished
184,5 BHK Villa,"Moinabad, Hyderabad",200000,7000,Furnished
185,2 BHK Apartment,"Chintalmet, Hyderabad","10,000",1000,Semi-Furnished
186,3 BHK Independent House,"Bolarum, Hyderabad","18,000",2000,Semi-Furnished
187,2 BHK Independent Floor,"Upparpally, Hyderabad","18,000",1700,Furnished
188,2 BHK Apartment,"Boiguda, Hyderabad","17,000",900,Unfurnished
189,3 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad","16,000",1570,Semi-Furnished
190,2 BHK Apartment,"Moosapet, Hyderabad","15,000",1100,Semi-Furnished
191,3 BHK Apartment,"Somajiguda, Hyderabad","20,000",1500,Semi-Furnished
192,3 BHK Independent House,"Kothapet, Hyderabad","40,000",1700,Semi-Furnished
193,1 BHK Independent Floor,"Attapur, Hyderabad","8,000",700,Unfurnished
194,7 BHK Independent Floor,"Miyapur, Hyderabad",150000,9900,Semi-Furnished
195,3 BHK Apartment,"Ramachandra Puram, Hyderabad","18,000",1300,Semi-Furnished
196,3 BHK Apartment,"Gajulramaram Kukatpally, Hyderabad","27,000",1620,Semi-Furnished
197,3 BHK Apartment,"Krishna Reddy Pet, Hyderabad","18,000",1360,Semi-Furnished
198,3 BHK Apartment,"Pocharam, Hyderabad","12,000",1500,Semi-Furnished
199,2 BHK Independent House,"Kothapet, Hyderabad","13,500",1400,Unfurnished
200,4 BHK Independent House,"Old Bowenpally, Hyderabad","16,500",1000,Unfurnished
201,2 BHK Independent House,"Khairatabad Road, Hyderabad","14,000",700,Semi-Furnished
202,2 BHK Independent House,"Shaikpet, Hyderabad","12,000",1200,Unfurnished
203,5 BHK Villa,"Nallagandla Gachibowli, Hyderabad","80,000",4000,Semi-Furnished
204,5 BHK Villa,"Moinabad, Hyderabad",200000,7000,Furnished
205,2 BHK Apartment,"Chintalmet, Hyderabad","10,000",1000,Semi-Furnished
206,3 BHK Independent House,"Bolarum, Hyderabad","18,000",2000,Semi-Furnished
207,2 BHK Independent Floor,"Upparpally, Hyderabad","18,000",1700,Furnished
208,2 BHK Apartment,"Boiguda, Hyderabad","17,000",900,Unfurnished
209,3 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad","16,000",1570,Semi-Furnished
210,2 BHK Apartment,"Moosapet, Hyderabad","15,000",1100,Semi-Furnished
211,3 BHK Apartment,"Somajiguda, Hyderabad","20,000",1500,Semi-Furnished
212,3 BHK Independent House,"Kothapet, Hyderabad","40,000",1700,Semi-Furnished
213,1 BHK Independent Floor,"Attapur, Hyderabad","8,000",700,Unfurnished
214,7 BHK Independent Floor,"Miyapur, Hyderabad",150000,9900,Semi-Furnished
215,3 BHK Apartment,"Ramachandra Puram, Hyderabad","18,000",1300,Semi-Furnished
216,3 BHK Apartment,"Gajulramaram Kukatpally, Hyderabad","27,000",1620,Semi-Furnished
217,3 BHK Apartment,"Krishna Reddy Pet, Hyderabad","18,000",1360,Semi-Furnished
218,3 BHK Apartment,"Pocharam, Hyderabad","12,000",1500,Semi-Furnished
219,2 BHK Independent House,"Kothapet, Hyderabad","13,500",1400,Unfurnished
220,4 BHK Independent House,"Old Bowenpally, Hyderabad","16,500",1000,Unfurnished
221,2 BHK Independent House,"Khairatabad Road, Hyderabad","14,000",700,Semi-Furnished
222,2 BHK Independent House,"Shaikpet, Hyderabad","12,000",1200,Unfurnished
223,5 BHK Villa,"Nallagandla Gachibowli, Hyderabad","80,000",4000,Semi-Furnished
224,5 BHK Villa,"Moinabad, Hyderabad",200000,7000,Furnished
225,2 BHK Apartment,"Chintalmet, Hyderabad","10,000",1000,Semi-Furnished
226,3 BHK Independent House,"Bolarum, Hyderabad","18,000",2000,Semi-Furnished
227,2 BHK Independent Floor,"Upparpally, Hyderabad","18,000",1700,Furnished
228,2 BHK Apartment,"Boiguda, Hyderabad","17,000",900,Unfurnished
229,3 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad","16,000",1570,Semi-Furnished
230,2 BHK Apartment,"Moosapet, Hyderabad","15,000",1100,Semi-Furnished
231,3 BHK Apartment,"Somajiguda, Hyderabad","20,000",1500,Semi-Furnished
232,3 BHK Independent House,"Kothapet, Hyderabad","40,000",1700,Semi-Furnished
233,1 BHK Independent Floor,"Attapur, Hyderabad","8,000",700,Unfurnished
234,7 BHK Independent Floor,"Miyapur, Hyderabad",150000,9900,Semi-Furnished
235,3 BHK Apartment,"Ramachandra Puram, Hyderabad","18,000",1300,Semi-Furnished
236,3 BHK Apartment,"Gajulramaram Kukatpally, Hyderabad","27,000",1620,Semi-Furnished
237,3 BHK Apartment,"Krishna Reddy Pet, Hyderabad","18,000",1360,Semi-Furnished
238,3 BHK Apartment,"Pocharam, Hyderabad","12,000",1500,Semi-Furnished
239,2 BHK Independent House,"Kothapet, Hyderabad","13,500",1400,Unfurnished
240,4 BHK Independent House,"Old Bowenpally, Hyderabad","16,500",1000,Unfurnished
241,2 BHK Independent House,"Khairatabad Road, Hyderabad","14,000",700,Semi-Furnished
242,2 BHK Independent House,"Shaikpet, Hyderabad","12,000",1200,Unfurnished
243,5 BHK Villa,"Nallagandla Gachibowli, Hyderabad","80,000",4000,Semi-Furnished
244,5 BHK Villa,"Moinabad, Hyderabad",200000,7000,Furnished
245,2 BHK Apartment,"Chintalmet, Hyderabad","10,000",1000,Semi-Furnished
246,3 BHK Independent House,"Bolarum, Hyderabad","18,000",2000,Semi-Furnished
247,2 BHK Independent Floor,"Upparpally, Hyderabad","18,000",1700,Furnished
248,2 BHK Apartment,"Boiguda, Hyderabad","17,000",900,Unfurnished
249,3 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad","16,000",1570,Semi-Furnished
