,Title,Location,Price,Area,Status
250,2 BHK Apartment,"Moosapet, Hyderabad","15,000",1100,Semi-Furnished
251,3 BHK Apartment,"Somajiguda, Hyderabad","20,000",1500,Semi-Furnished
252,3 BHK Independent House,"Kothapet, Hyderabad","40,000",1700,Semi-Furnished
253,1 BHK Independent Floor,"Attapur, Hyderabad","8,000",700,Unfurnished
254,7 BHK Independent Floor,"Miyapur, Hyderabad",150000,9900,Semi-Furnished
255,3 BHK Apartment,"Ramachandra Puram, Hyderabad","18,000",1300,Semi-Furnished
256,3 BHK Apartment,"Gajulramaram Kukatpally, Hyderabad","27,000",1620,Semi-Furnished
257,3 BHK Apartment,"Krishna Reddy Pet, Hyderabad","18,000",1360,Semi-Furnished
258,3 BHK Apartment,"Pocharam, Hyderabad","12,000",1500,Semi-Furnished
259,2 BHK Independent House,"Kothapet, Hyderabad","13,500",1400,Unfurnished
260,4 BHK Independent House,"Old Bowenpally, Hyderabad","16,500",1000,Unfurnished
261,2 BHK Independent House,"Khairatabad Road, Hyderabad","14,000",700,Semi-Furnished
262,2 BHK Independent House,"Shaikpet, Hyderabad","12,000",1200,Unfurnished
263,5 BHK Villa,"Nallagandla Gachibowli, Hyderabad","80,000",4000,Semi-Furnished
264,5 BHK Villa,"Moinabad, Hyderabad",200000,7000,Furnished
265,2 BHK Apartment,"Chintalmet, Hyderabad","10,000",1000,Semi-Furnished
266,3 BHK Independent House,"Bolarum, Hyderabad","18,000",2000,Semi-Furnished
267,2 BHK Independent Floor,"Upparpally, Hyderabad","18,000",1700,Furnished
268,2 BHK Apartment,"Boiguda, Hyderabad","17,000",900,Unfurnished
269,3 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad","16,000",1570,Semi-Furnished
270,2 BHK Apartment,"Moosapet, Hyderabad","15,000",1100,Semi-Furnished
271,3 BHK Apartment,"Somajiguda, Hyderabad","20,000",1500,Semi-Furnished
272,3 BHK Independent House,"Kothapet, Hyderabad","40,000",1700,Semi-Furnished
273,1 BHK Independent Floor,"Attapur, Hyderabad","8,000",700,Unfurnished
274,7 BHK Independent Floor,"Miyapur, Hyderabad",150000,9900,Semi-Furnished
275,3 BHK Apartment,"Ramachandra Puram, Hyderabad","18,000",1300,Semi-Furnished
276,3 BHK Apartment,"Gajulramaram Kukatpally, Hyderabad","27,000",1620,Semi-Furnished
277,3 BHK Apartment,"Krishna Reddy Pet, Hyderabad","18,000",1360,Semi-Furnished
278,3 BHK Apartment,"Pocharam, Hyderabad","12,000",1500,Semi-Furnished
279,2 BHK Independent House,"Kothapet, Hyderabad","13,500",1400,Unfurnished
280,4 BHK Independent House,"Old Bowenpally, Hyderabad","16,500",1000,Unfurnished
281,2 BHK Independent House,"Khairatabad Road, Hyderabad","14,000",700,Semi-Furnished
282,2 BHK Independent House,"Shaikpet, Hyderabad","12,000",1200,Unfurnished
283,5 BHK Villa,"Nallagandla Gachibowli, Hyderabad","80,000",4000,Semi-Furnished
284,5 BHK Villa,"Moinabad, Hyderabad",200000,7000,Furnished
285,2 BHK Apartment,"Chintalmet, Hyderabad","10,000",1000,Semi-Furnished
286,3 BHK Independent House,"Bolarum, Hyderabad","18,000",2000,Semi-Furnished
287,2 BHK Independent Floor,"Upparpally, Hyderabad","18,000",1700,Furnished
288,2 BHK Apartment,"Boiguda, Hyderabad","17,000",900,Unfurnished
289,3 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad","16,000",1570,Semi-Furnished
290,2 BHK Apartment,"Moosapet, Hyderabad","15,000",1100,Semi-Furnished
291,3 BHK Apartment,"Somajiguda, Hyderabad","20,000",1500,Semi-Furnished
292,3 BHK Independent House,"Kothapet, Hyderabad","40,000",1700,Semi-Furnished
293,1 BHK Independent Floor,"Attapur, Hyderabad","8,000",700,Unfurnished
294,7 BHK Independent Floor,"Miyapur, Hyderabad",150000,9900,Semi-Furnished
295,3 BHK Apartment,"Ramachandra Puram, Hyderabad","18,000",1300,Semi-Furnished
296,3 BHK Apartment,"Gajulramaram Kukatpally, Hyderabad","27,000",1620,Semi-Furnished
297,3 BHK Apartment,"Krishna Reddy Pet, Hyderabad","18,000",1360,Semi-Furnished
298,3 BHK Apartment,"Pocharam, Hyderabad","12,000",1500,Semi-Furnished
299,2 BHK Independent House,"Kothapet, Hyderabad","13,500",1400,Unfurnished
300,4 BHK Independent House,"Old Bowenpally, Hyderabad","16,500",1000,Unfurnished
301,2 BHK Independent House,"Khairatabad Road, Hyderabad","14,000",700,Semi-Furnished
302,2 BHK Independent House,"Shaikpet, Hyderabad","12,000",1200,Unfurnished
303,5 BHK Villa,"Nallagandla Gachibowli, Hyderabad","80,000",4000,Semi-Furnished
304,5 BHK Villa,"Moinabad, Hyderabad",200000,7000,Furnished
305,2 BHK Apartment,"Chintalmet, Hyderabad","10,000",1000,Semi-Furnished
306,3 BHK Independent House,"Bolarum, Hyderabad","18,000",2000,Semi-Furnished
307,2 BHK Independent Floor,"Upparpally, Hyderabad","18,000",1700,Furnished
308,2 BHK Apartment,"Boiguda, Hyderabad","17,000",900,Unfurnished
309,3 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad","16,000",1570,Semi-Furnished
310,2 BHK Apartment,"Moosapet, Hyderabad","15,000",1100,Semi-Furnished
311,3 BHK Apartment,"Somajiguda, Hyderabad","20,000",1500,Semi-Furnished
312,3 BHK Independent House,"Kothapet, Hyderabad","40,000",1700,Semi-Furnished
313,1 BHK Independent Floor,"Attapur, Hyderabad","8,000",700,Unfurnished
314,7 BHK Independent Floor,"Miyapur, Hyderabad",150000,9900,Semi-Furnished
315,3 BHK Apartment,"Ramachandra Puram, Hyderabad","18,000",1300,Semi-Furnished
316,3 BHK Apartment,"Gajulramaram Kukatpally, Hyderabad","27,000",1620,Semi-Furnished
317,3 BHK Apartment,"Krishna Reddy Pet, Hyderabad","18,000",1360,Semi-Furnished
318,3 BHK Apartment,"Pocharam, Hyderabad","12,000",1500,Semi-Furnished
319,2 BHK Independent House,"Kothapet, Hyderabad","13,500",1400,Unfurnished
320,4 BHK Independent House,"Old Bowenpally, Hyderabad","16,500",1000,Unfurnished
321,2 BHK Independent House,"Khairatabad Road, Hyderabad","14,000",700,Semi-Furnished
322,2 BHK Independent House,"Shaikpet, Hyderabad","12,000",1200,Unfurnished
323,5 BHK Villa,"Nallagandla Gachibowli, Hyderabad","80,000",4000,Semi-Furnished
324,5 BHK Villa,"Moinabad, Hyderabad",200000,7000,Furnished
325,2 BHK Apartment,"Chintalmet, Hyderabad","10,000",1000,Semi-Furnished
326,3 BHK Independent House,"Bolarum, Hyderabad","18,000",2000,Semi-Furnished
327,2 BHK Independent Floor,"Upparpally, Hyderabad","18,000",1700,Furnished
328,2 BHK Apartment,"Boiguda, Hyderabad","17,000",900,Unfurnished
329,3 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad","16,000",1570,Semi-Furnished
330,2 BHK Apartment,"Moosapet, Hyderabad","15,000",1100,Semi-Furnished
331,3 BHK Apartment,"Somajiguda, Hyderabad","20,000",1500,Semi-Furnished
332,3 BHK Independent House,"Kothapet, Hyderabad","40,000",1700,Semi-Furnished
333,1 BHK Independent Floor,"Attapur, Hyderabad","8,000",700,Unfurnished
334,7 BHK Independent Floor,"Miyapur, Hyderabad",150000,9900,Semi-Furnished
335,3 BHK Apartment,"Ramachandra Puram, Hyderabad","18,000",1300,Semi-Furnished
336,3 BHK Apartment,"Gajulramaram Kukatpally, Hyderabad","27,000",1620,Semi-Furnished
337,3 BHK Apartment,"Krishna Reddy Pet, Hyderabad","18,000",1360,Semi-Furnished
338,3 BHK Apartment,"Pocharam, Hyderabad","12,000",1500,Semi-Furnished
339,2 BHK Independent House,"Kothapet, Hyderabad","13,500",1400,Unfurnished
340,4 BHK Independent House,"Old Bowenpally, Hyderabad","16,500",1000,Unfurnished
341,2 BHK Independent House,"Khairatabad Road, Hyderabad","14,000",700,Semi-Furnished
342,2 BHK Independent House,"Shaikpet, Hyderabad","12,000",1200,Unfurnished
343,5 BHK Villa,"Nallagandla Gachibowli, Hyderabad","80,000",4000,Semi-Furnished
344,5 BHK Villa,"Moinabad, Hyderabad",200000,7000,Furnished
345,2 BHK Apartment,"Chintalmet, Hyderabad","10,000",1000,Semi-Furnished
346,3 BHK Independent House,"Bolarum, Hyderabad","18,000",2000,Semi-Furnished
347,2 BHK Independent Floor,"Upparpally, Hyderabad","18,000",1700,Furnished
348,2 BHK Apartment,"Boiguda, Hyderabad","17,000",900,Unfurnished
349,3 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad","16,000",1570,Semi-Furnished
350,2 BHK Apartment,"Moosapet, Hyderabad","15,000",1100,Semi-Furnished
351,3 BHK Apartment,"Somajiguda, Hyderabad","20,000",1500,Semi-Furnished
352,3 BHK Independent House,"Kothapet, Hyderabad","40,000",1700,Semi-Furnished
353,1 BHK Independent Floor,"Attapur, Hyderabad","8,000",700,Unfurnished
354,7 BHK Independent Floor,"Miyapur, Hyderabad",150000,9900,Semi-Furnished
355,3 BHK Apartment,"Ramachandra Puram, Hyderabad","18,000",1300,Semi-Furnished
356,3 BHK Apartment,"Gajulramaram Kukatpally, Hyderabad","27,000",1620,Semi-Furnished
357,3 BHK Apartment,"Krishna Reddy Pet, Hyderabad","18,000",1360,Semi-Furnished
358,3 BHK Apartment,"Pocharam, Hyderabad","12,000",1500,Semi-Furnished
359,2 BHK Independent House,"Kothapet, Hyderabad","13,500",1400,Unfurnished
360,4 BHK Independent House,"Old Bowenpally, Hyderabad","16,500",1000,Unfurnished
361,2 BHK Independent House,"Khairatabad Road, Hyderabad","14,000",700,Semi-Furnished
362,2 BHK Independent House,"Shaikpet, Hyderabad","12,000",1200,Unfurnished
363,5 BHK Villa,"Nallagandla Gachibowli, Hyderabad","80,000",4000,Semi-Furnished
364,5 BHK Villa,"Moinabad, Hyderabad",200000,7000,Furnished
365,2 BHK Apartment,"Chintalmet, Hyderabad","10,000",1000,Semi-Furnished
366,3 BHK Independent House,"Bolarum, Hyderabad","18,000",2000,Semi-Furnished
367,2 BHK Independent Floor,"Upparpally, Hyderabad","18,000",1700,Furnished
368,2 BHK Apartment,"Boiguda, Hyderabad","17,000",900,Unfurnished
369,3 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad","16,000",1570,Semi-Furnished
370,2 BHK Apartment,"Moosapet, Hyderabad","15,000",1100,Semi-Furnished
371,3 BHK Apartment,"Somajiguda, Hyderabad","20,000",1500,Semi-Furnished
372,3 BHK Independent House,"Kothapet, Hyderabad","40,000",1700,Semi-Furnished
373,1 BHK Independent Floor,"Attapur, Hyderabad","8,000",700,Unfurnished
374,7 BHK Independent Floor,"Miyapur, Hyderabad",150000,9900,Semi-Furnished
375,3 BHK Apartment,"Ramachandra Puram, Hyderabad","18,000",1300,Semi-Furnished
376,3 BHK Apartment,"Gajulramaram Kukatpally, Hyderabad","27,000",1620,Semi-Furnished
377,3 BHK Apartment,"Krishna Reddy Pet, Hyderabad","18,000",1360,Semi-Furnished
378,3 BHK Apartment,"Pocharam, Hyderabad","12,000",1500,Semi-Furnished
379,2 BHK Independent House,"Kothapet, Hyderabad","13,500",1400,Unfurnished
380,4 BHK Independent House,"Old Bowenpally, Hyderabad","16,500",1000,Unfurnished
381,2 BHK Independent House,"Khairatabad Road, Hyderabad","14,000",700,Semi-Furnished
382,2 BHK Independent House,"Shaikpet, Hyderabad","12,000",1200,Unfurnished
383,5 BHK Villa,"Nallagandla Gachibowli, Hyderabad","80,000",4000,Semi-Furnished
384,5 BHK Villa,"Moinabad, Hyderabad",200000,7000,Furnished
385,2 BHK Apartment,"Chintalmet, Hyderabad","10,000",1000,Semi-Furnished
386,3 BHK Independent House,"Bolarum, Hyderabad","18,000",2000,Semi-Furnished
387,2 BHK Independent Floor,"Upparpally, Hyderabad","18,000",1700,Furnished
388,2 BHK Apartment,"Boiguda, Hyderabad","17,000",900,Unfurnished
389,3 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad","16,000",1570,Semi-Furnished
390,2 BHK Apartment,"Moosapet, Hyderabad","15,000",1100,Semi-Furnished
391,3 BHK Apartment,"Somajiguda, Hyderabad","20,000",1500,Semi-Furnished
392,3 BHK Independent House,"Kothapet, Hyderabad","40,000",1700,Semi-Furnished
393,1 BHK Independent Floor,"Attapur, Hyderabad","8,000",700,Unfurnished
394,7 BHK Independent Floor,"Miyapur, Hyderabad",150000,9900,Semi-Furnished
395,3 BHK Apartment,"Ramachandra Puram, Hyderabad","18,000",1300,Semi-Furnished
396,3 BHK Apartment,"Gajulramaram Kukatpally, Hyderabad","27,000",1620,Semi-Furnished
397,3 BHK Apartment,"Krishna Reddy Pet, Hyderabad","18,000",1360,Semi-Furnished
398,3 BHK Apartment,"Pocharam, Hyderabad","12,000",1500,Semi-Furnished
399,2 BHK Independent House,"Kothapet, Hyderabad","13,500",1400,Unfurnished
400,4 BHK Independent House,"Old Bowenpally, Hyderabad","16,500",1000,Unfurnished
401,2 BHK Independent House,"Khairatabad Road, Hyderabad","14,000",700,Semi-Furnished
402,2 BHK Independent House,"Shaikpet, Hyderabad","12,000",1200,Unfurnished
403,5 BHK Villa,"Nallagandla Gachibowli, Hyderabad","80,000",4000,Semi-Furnished
404,5 BHK Villa,"Moinabad, Hyderabad",200000,7000,Furnished
405,2 BHK Apartment,"Chintalmet, Hyderabad","10,000",1000,Semi-Furnished
406,3 BHK Independent House,"Bolarum, Hyderabad","18,000",2000,Semi-Furnished
407,2 BHK Independent Floor,"Upparpally, Hyderabad","18,000",1700,Furnished
408,2 BHK Apartment,"Boiguda, Hyderabad","17,000",900,Unfurnished
409,3 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad","16,000",1570,Semi-Furnished
410,2 BHK Apartment,"Moosapet, Hyderabad","15,000",1100,Semi-Furnished
411,3 BHK Apartment,"Somajiguda, Hyderabad","20,000",1500,Semi-Furnished
412,3 BHK Independent House,"Kothapet, Hyderabad","40,000",1700,Semi-Furnished
413,1 BHK Independent Floor,"Attapur, Hyderabad","8,000",700,Unfurnished
414,7 BHK Independent Floor,"Miyapur, Hyderabad",150000,9900,Semi-Furnished
415,3 BHK Apartment,"Ramachandra Puram, Hyderabad","18,000",1300,Semi-Furnished
416,3 BHK Apartment,"Gajulramaram Kukatpally, Hyderabad","27,000",1620,Semi-Furnished
417,3 BHK Apartment,"Krishna Reddy Pet, Hyderabad","18,000",1360,Semi-Furnished
418,3 BHK Apartment,"Pocharam, Hyderabad","12,000",1500,Semi-Furnished
419,2 BHK Independent House,"Kothapet, Hyderabad","13,500",1400,Unfurnished
420,4 BHK Independent House,"Old Bowenpally, Hyderabad","16,500",1000,Unfurnished
421,2 BHK Independent House,"Khairatabad Road, Hyderabad","14,000",700,Semi-Furnished
422,2 BHK Independent House,"Shaikpet, Hyderabad","12,000",1200,Unfurnished
423,5 BHK Villa,"Nallagandla Gachibowli, Hyderabad","80,000",4000,Semi-Furnished
424,5 BHK Villa,"Moinabad, Hyderabad",200000,7000,Furnished
425,2 BHK Apartment,"Chintalmet, Hyderabad","10,000",1000,Semi-Furnished
426,3 BHK Independent House,"Bolarum, Hyderabad","18,000",2000,Semi-Furnished
427,2 BHK Independent Floor,"Upparpally, Hyderabad","18,000",1700,Furnished
428,2 BHK Apartment,"Boiguda, Hyderabad","17,000",900,Unfurnished
429,3 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad","16,000",1570,Semi-Furnished
430,2 BHK Apartment,"Moosapet, Hyderabad","15,000",1100,Semi-Furnished
431,3 BHK Apartment,"Somajiguda, Hyderabad","20,000",1500,Semi-Furnished
432,3 BHK Independent House,"Kothapet, Hyderabad","40,000",1700,Semi-Furnished
433,1 BHK Independent Floor,"Attapur, Hyderabad","8,000",700,Unfurnished
434,7 BHK Independent Floor,"Miyapur, Hyderabad",150000,9900,Semi-Furnished
435,3 BHK Apartment,"Ramachandra Puram, Hyderabad","18,000",1300,Semi-Furnished
436,3 BHK Apartment,"Gajulramaram Kukatpally, Hyderabad","27,000",1620,Semi-Furnished
437,3 BHK Apartment,"Krishna Reddy Pet, Hyderabad","18,000",1360,Semi-Furnished
438,3 BHK Apartment,"Pocharam, Hyderabad","12,000",1500,Semi-Furnished
439,2 BHK Independent House,"Kothapet, Hyderabad","13,500",1400,Unfurnished
440,4 BHK Independent House,"Old Bowenpally, Hyderabad","16,500",1000,Unfurnished
441,2 BHK Independent House,"Khairatabad Road, Hyderabad","14,000",700,Semi-Furnished
442,2 BHK Independent House,"Shaikpet, Hyderabad","12,000",1200,Unfurnished
443,5 BHK Villa,"Nallagandla Gachibowli, Hyderabad","80,000",4000,Semi-Furnished
444,5 BHK Villa,"Moinabad, Hyderabad",200000,7000,Furnished
445,2 BHK Apartment,"Chintalmet, Hyderabad","10,000",1000,Semi-Furnished
446,3 BHK Independent House,"Bolarum, Hyderabad","18,000",2000,Semi-Furnished
447,2 BHK Independent Floor,"Upparpally, Hyderabad","18,000",1700,Furnished
448,2 BHK Apartment,"Boiguda, Hyderabad","17,000",900,Unfurnished
449,3 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad","16,000",1570,Semi-Furnished
450,2 BHK Apartment,"Moosapet, Hyderabad","15,000",1100,Semi-Furnished
451,3 BHK Apartment,"Somajiguda, Hyderabad","20,000",1500,Semi-Furnished
452,3 BHK Independent House,"Kothapet, Hyderabad","40,000",1700,Semi-Furnished
453,1 BHK Independent Floor,"Attapur, Hyderabad","8,000",700,Unfurnished
454,7 BHK Independent Floor,"Miyapur, Hyderabad",150000,9900,Semi-Furnished
455,3 BHK Apartment,"Ramachandra Puram, Hyderabad","18,000",1300,Semi-Furnished
456,3 BHK Apartment,"Gajulramaram Kukatpally, Hyderabad","27,000",1620,Semi-Furnished
457,3 BHK Apartment,"Krishna Reddy Pet, Hyderabad","18,000",1360,Semi-Furnished
458,3 BHK Apartment,"Pocharam, Hyderabad","12,000",1500,Semi-Furnished
459,2 BHK Independent House,"Kothapet, Hyderabad","13,500",1400,Unfurnished
460,4 BHK Independent House,"Old Bowenpally, Hyderabad","16,500",1000,Unfurnished
461,2 BHK Independent House,"Khairatabad Road, Hyderabad","14,000",700,Semi-Furnished
462,2 BHK Independent House,"Shaikpet, Hyderabad","12,000",1200,Unfurnished
463,5 BHK Villa,"Nallagandla Gachibowli, Hyderabad","80,000",4000,Semi-Furnished
464,5 BHK Villa,"Moinabad, Hyderabad",200000,7000,Furnished
465,2 BHK Apartment,"Chintalmet, Hyderabad","10,000",1000,Semi-Furnished
466,3 BHK Independent House,"Bolarum, Hyderabad","18,000",2000,Semi-Furnished
467,2 BHK Independent Floor,"Upparpally, Hyderabad","18,000",1700,Furnished
468,2 BHK Apartment,"Boiguda, Hyderabad","17,000",900,Unfurnished
469,3 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad","16,000",1570,Semi-Furnished
470,2 BHK Apartment,"Moosapet, Hyderabad","15,000",1100,Semi-Furnished
471,3 BHK Apartment,"Somajiguda, Hyderabad","20,000",1500,Semi-Furnished
472,3 BHK Independent House,"Kothapet, Hyderabad","40,000",1700,Semi-Furnished
473,1 BHK Independent Floor,"Attapur, Hyderabad","8,000",700,Unfurnished
474,7 BHK Independent Floor,"Miyapur, Hyderabad",150000,9900,Semi-Furnished
475,3 BHK Apartment,"Ramachandra Puram, Hyderabad","18,000",1300,Semi-Furnished
476,3 BHK Apartment,"Gajulramaram Kukatpally, Hyderabad","27,000",1620,Semi-Furnished
477,3 BHK Apartment,"Krishna Reddy Pet, Hyderabad","18,000",1360,Semi-Furnished
478,3 BHK Apartment,"Pocharam, Hyderabad","12,000",1500,Semi-Furnished
479,2 BHK Independent House,"Kothapet, Hyderabad","13,500",1400,Unfurnished
480,4 BHK Independent House,"Old Bowenpally, Hyderabad","16,500",1000,Unfurnished
481,2 BHK Independent House,"Khairatabad Road, Hyderabad","14,000",700,Semi-Furnished
482,2 BHK Independent House,"Shaikpet, Hyderabad","12,000",1200,Unfurnished
483,5 BHK Villa,"Nallagandla Gachibowli, Hyderabad","80,000",4000,Semi-Furnished
484,5 BHK Villa,"Moinabad, Hyderabad",200000,7000,Furnished
485,2 BHK Apartment,"Chintalmet, Hyderabad","10,000",1000,Semi-Furnished
486,3 BHK Independent House,"Bolarum, Hyderabad","18,000",2000,Semi-Furnished
487,2 BHK Independent Floor,"Upparpally, Hyderabad","18,000",1700,Furnished
488,2 BHK Apartment,"Boiguda, Hyderabad","17,000",900,Unfurnished
489,3 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad","16,000",1570,Semi-Furnished
490,2 BHK Apartment,"Moosapet, Hyderabad","15,000",1100,Semi-Furnished
491,3 BHK Apartment,"Somajiguda, Hyderabad","20,000",1500,Semi-Furnished
492,3 BHK Independent House,"Kothapet, Hyderabad","40,000",1700,Semi-Furnished
493,1 BHK Independent Floor,"Attapur, Hyderabad","8,000",700,Unfurnished
494,7 BHK Independent Floor,"Miyapur, Hyderabad",150000,9900,Semi-Furnished
495,3 BHK Apartment,"Ramachandra Puram, Hyderabad","18,000",1300,Semi-Furnished
496,3 BHK Apartment,"Gajulramaram Kukatpally, Hyderabad","27,000",1620,Semi-Furnished
497,3 BHK Apartment,"Krishna Reddy Pet, Hyderabad","18,000",1360,Semi-Furnished
498,3 BHK Apartment,"Pocharam, Hyderabad","12,000",1500,Semi-Furnished
499,2 BHK Independent House,"Kothapet, Hyderabad","13,500",1400,Unfurnished
